uf,municipio,codigo_tse,eleitores_2026,bolsonaro_1t,bolsonaro_2t,lula_1t,lula_2t,ciro_tebet_1t,ganho_bolsonaro,ganho_lula,ganho_liquido_direita,bolsonaro_2t_pct
SP,SÃO PAULO,71072,9135666,2618593,3191484,3276512,3677921,856721,572891,401409,171482,46.459
RJ,RIO DE JANEIRO,60011,4950545,1695777,1929209,1568485,1734159,294281,233432,165674,67758,52.662
MG,BELO HORIZONTE,41238,1961426,699105,834548,638002,703755,137201,135443,65753,69690,54.251
DF,BRASÍLIA,97012,2253236,910397,1041331,649534,729295,179685,130934,79761,51173,58.811
PR,CURITIBA,75353,1411068,612309,720322,348166,391675,123342,108013,43509,64504,64.777
CE,FORTALEZA,13897,1790488,530162,633009,802009,880559,161075,102847,78550,24297,41.822
BA,SALVADOR,38490,1951766,367452,451131,1022728,1089899,115207,83679,67171,16508,29.275
AM,MANAUS,2550,1472357,622846,692580,430562,437691,92476,69734,7129,62605,61.276
GO,GOIÂNIA,93734,1016176,445715,513018,262845,289172,74323,67303,26327,40976,63.952
SP,GUARULHOS,64777,948440,331178,391234,311756,337689,74334,60056,25933,34123,53.673
RS,PORTO ALEGRE,88013,1061504,323857,380499,412553,437798,77986,56642,25245,31397,46.499
PA,BELÉM,4278,1047380,370564,427051,392207,431858,84617,56487,39651,16836,49.72
SP,CAMPINAS,62910,870690,320684,368251,259973,286779,61944,47567,26806,20761,56.219
PE,RECIFE,25313,1228646,390904,433317,538562,558690,58409,42413,20128,22285,43.681
SP,SÃO BERNARDO DO CAMPO,70750,626754,185834,224929,240348,262223,54429,39095,21875,17220,46.172
SP,SANTO ANDRÉ,70572,573176,188805,225767,185501,207330,52480,36962,21829,15133,52.129
SP,OSASCO,67890,583521,181873,218756,201683,222285,49659,36883,20602,16281,49.6
MS,CAMPO GRANDE,90514,640453,278642,313906,176576,187109,48051,35264,10533,24731,62.654
SP,SÃO JOSÉ DOS CAMPOS,70998,539167,233683,267615,143732,159996,42644,33932,16264,17668,62.584
AL,MACEIÓ,27855,644063,240053,273549,195714,204887,41389,33496,9173,24323,57.176
MG,CONTAGEM,43710,463259,171682,202910,151516,162786,30463,31228,11270,19958,55.486
RJ,DUQUE DE CAXIAS,58335,635094,267993,299197,202089,213922,28720,31204,11833,19371,58.309
MG,UBERLÂNDIA,54038,538225,184744,215660,178074,190299,29651,30916,12225,18691,53.124
