round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region,ibge_population_2022,validation
julho/2026,BR-07181/2026,Alto Jequitibá,MG,3153509,Centro,315350905000005,6,Sudeste,687,population_api
julho/2026,BR-07181/2026,Alto Jequitibá,MG,3153509,Zona Rural,315350905000022,6,Sudeste,434,population_api
julho/2026,BR-07181/2026,Angra dos Reis,RJ,3300100,Morro Do Santo Antonio,330010005000007,6,Sudeste,906,population_api
julho/2026,BR-07181/2026,Angra dos Reis,RJ,3300100,Mombaça,330010005000247,6,Sudeste,157,population_api
julho/2026,BR-07181/2026,Angra dos Reis,RJ,3300100,Belem,330010015000182,6,Sudeste,745,population_api
julho/2026,BR-07181/2026,Aporá,BA,2901908,Centro,290190805000004,6,Nordeste,342,population_api
julho/2026,BR-07181/2026,Aporá,BA,2901908,Marambaia,290190805000031,6,Nordeste,464,population_api
julho/2026,BR-07181/2026,Aporá,BA,2901908,Marcelina,290190810000019,6,Nordeste,185,population_api
julho/2026,BR-07181/2026,Aquiraz,CE,2301000,Sede,230100005000003,6,Nordeste,620,population_api
julho/2026,BR-07181/2026,Aquiraz,CE,2301000,Sede,230100005000084,6,Nordeste,676,population_api
julho/2026,BR-07181/2026,Aquiraz,CE,2301000,Jacunda,230100017000019,6,Nordeste,808,population_api
julho/2026,BR-07181/2026,Araraquara,SP,3503208,Jardim Arco Iris,350320805000099,6,Sudeste,790,population_api
julho/2026,BR-07181/2026,Araraquara,SP,3503208,Jardim Imperador Ii,350320805000331,6,Sudeste,454,population_api
julho/2026,BR-07181/2026,Araraquara,SP,3503208,Vila Xavier,350320825000011,6,Sudeste,552,population_api
julho/2026,BR-07181/2026,Araçatuba,SP,3502804,Jardim America,350280405000079,6,Sudeste,268,population_api
julho/2026,BR-07181/2026,Araçatuba,SP,3502804,Umuarama,350280405000427,6,Sudeste,276,population_api
julho/2026,BR-07181/2026,Barrinha,SP,3505609,Jardim Paulista,350560905000021,6,Sudeste,723,population_api
julho/2026,BR-07181/2026,Barrinha,SP,3505609,Jardim California Ii,350560905000063,6,Sudeste,587,population_api
julho/2026,BR-07181/2026,Belo Horizonte,MG,3106200,Pompeia,310620005630460,6,Sudeste,417,population_api
julho/2026,BR-07181/2026,Belo Horizonte,MG,3106200,Alto Caicaras,310620005650614,6,Sudeste,678,population_api
julho/2026,BR-07181/2026,Belo Horizonte,MG,3106200,Diamante,310620025610275,6,Sudeste,646,population_api
julho/2026,BR-07181/2026,Belo Horizonte,MG,3106200,Belmonte,310620060640147,6,Sudeste,682,population_api
julho/2026,BR-07181/2026,Belo Horizonte,MG,3106200,Santa Monica,310620060690157,6,Sudeste,244,population_api
julho/2026,BR-07181/2026,Belém,PA,1501402,Cidade Velha,150140205000217,6,Norte,785,population_api
julho/2026,BR-07181/2026,Belém,PA,1501402,Jurunas,150140255000018,6,Norte,833,population_api
julho/2026,BR-07181/2026,Belém,PA,1501402,Campina,150140260000311,6,Norte,742,population_api
julho/2026,BR-07181/2026,Borba,AM,1300805,Sao Jose,130080505000006,6,Norte,1010,population_api
julho/2026,BR-07181/2026,Borba,AM,1300805,Recreio,130080505000054,6,Norte,1223,population_api
julho/2026,BR-07181/2026,Borba,AM,1300805,Aldeia Indigena Paraua,130080520000002,6,Norte,695,population_api
julho/2026,BR-07181/2026,Brasília,DF,5300108,Gama,530010805070070,6,Centro-Oeste,673,population_api
julho/2026,BR-07181/2026,Brasília,DF,5300108,Planaltina,530010805110066,6,Centro-Oeste,601,population_api
julho/2026,BR-07181/2026,Brasília,DF,5300108,Ceilandia,530010805150310,6,Centro-Oeste,600,population_api
julho/2026,BR-07181/2026,Brasília,DF,5300108,Santa Maria,530010805250173,6,Centro-Oeste,701,population_api
julho/2026,BR-07181/2026,Brasília,DF,5300108,Sudoeste,530010805350048,6,Centro-Oeste,422,population_api
julho/2026,BR-07181/2026,Brejo,MA,2102101,Centro,210210105000007,6,Nordeste,449,population_api
julho/2026,BR-07181/2026,Brejo,MA,2102101,Escalvado,210210105000048,6,Nordeste,739,population_api
julho/2026,BR-07181/2026,Brejo,MA,2102101,Morro Santo Antonio,210210105000088,6,Nordeste,593,population_api
julho/2026,BR-07181/2026,Brejão,PE,2602407,Centro,260240705000003,6,Nordeste,1163,population_api
julho/2026,BR-07181/2026,Brejão,PE,2602407,Centro,260240705000026,6,Nordeste,561,population_api
julho/2026,BR-07181/2026,Cambé,PR,4103701,Parque Residencial Ana Rosa,410370105000032,6,Sul,600,population_api
julho/2026,BR-07181/2026,Cambé,PR,4103701,Jardim Santa Izabel,410370105000111,6,Sul,624,population_api
julho/2026,BR-07181/2026,Cambé,PR,4103701,Conjunto Castelo Branco,410370105000177,6,Sul,1240,population_api
julho/2026,BR-07181/2026,Campina Grande,PB,2504009,Liberdade,250400905000093,6,Nordeste,625,population_api
julho/2026,BR-07181/2026,Campina Grande,PB,2504009,Cruzeiro,250400905000360,6,Nordeste,682,population_api
julho/2026,BR-07181/2026,Campina Grande,PB,2504009,Quarenta,250400905000703,6,Nordeste,607,population_api
julho/2026,BR-07181/2026,Campinas,SP,3509502,Loteamento Chacaras Gargantilhas,350950205001497,6,Sudeste,441,population_api
julho/2026,BR-07181/2026,Campinas,SP,3509502,Parque Dom Pedro Ii,350950230000227,6,Sudeste,760,population_api
julho/2026,BR-07181/2026,Campo Maior,PI,2202208,Centro,220220805000008,6,Nordeste,203,population_api
julho/2026,BR-07181/2026,Campo Maior,PI,2202208,Evereste,220220805000053,6,Nordeste,718,population_api
julho/2026,BR-07181/2026,Campo Maior,PI,2202208,Sao Luis,220220805000107,6,Nordeste,975,population_api
julho/2026,BR-07181/2026,Campos dos Goytacazes,RJ,3301009,Centro,330100905070007,6,Sudeste,430,population_api
julho/2026,BR-07181/2026,Campos dos Goytacazes,RJ,3301009,Parque Santa Rosa,330100905080114,6,Sudeste,384,population_api
julho/2026,BR-07181/2026,Campos dos Goytacazes,RJ,3301009,Farol De Sao Thome,330100940000013,6,Sudeste,154,population_api
julho/2026,BR-07181/2026,Cariacica,ES,3201308,Aparecida,320130805000013,6,Sudeste,470,population_api
julho/2026,BR-07181/2026,Cariacica,ES,3201308,Ibiapaba,320130805000306,6,Sudeste,200,population_api
julho/2026,BR-07181/2026,Cariacica,ES,3201308,Rio Branco,320130810000226,6,Sudeste,375,population_api
julho/2026,BR-07181/2026,Caruaru,PE,2604106,José Carlos De Oliveira,260410605000210,6,Nordeste,966,population_api
julho/2026,BR-07181/2026,Caruaru,PE,2604106,Salgado,260410605000684,6,Nordeste,688,population_api
julho/2026,BR-07181/2026,Casa Branca,SP,3510807,Centro,351080705000007,6,Sudeste,641,population_api
julho/2026,BR-07181/2026,Casa Branca,SP,3510807,Residencial Monte Belo,351080705000046,6,Sudeste,423,population_api
julho/2026,BR-07181/2026,Cerro Azul,PR,4105201,Zona Rural,410520105000011,6,Sul,451,population_api
julho/2026,BR-07181/2026,Cerro Azul,PR,4105201,Margem Esquerda,410520105000032,6,Sul,240,population_api
julho/2026,BR-07181/2026,Cerro Azul,PR,4105201,Zona Rural,410520110000010,6,Sul,416,population_api
julho/2026,BR-07181/2026,Chapecó,SC,4204202,Passo Dos Fortes,420420205000179,6,Sul,704,population_api
julho/2026,BR-07181/2026,Chapecó,SC,4204202,Seminário,420420205000393,6,Sul,523,population_api
julho/2026,BR-07181/2026,Chapecó,SC,4204202,Vederti,420420220000011,6,Sul,1251,population_api
julho/2026,BR-07181/2026,Charqueada,SP,3511706,Centro,351170605000002,6,Sudeste,290,population_api
julho/2026,BR-07181/2026,Charqueada,SP,3511706,Centro,351170605000030,6,Sudeste,604,population_api
julho/2026,BR-07181/2026,Coelho Neto,MA,2103406,Bairro Sarney,210340605000015,6,Nordeste,1036,population_api
julho/2026,BR-07181/2026,Coelho Neto,MA,2103406,Bairro Quiabos,210340605000039,6,Nordeste,770,population_api
julho/2026,BR-07181/2026,Coelho Neto,MA,2103406,Zona Rural,210340605000069,6,Nordeste,608,population_api
julho/2026,BR-07181/2026,Contagem,MG,3118601,Jardim Marrocos,311860105120008,6,Sudeste,380,population_api
julho/2026,BR-07181/2026,Contagem,MG,3118601,Campo Alto,311860105260044,6,Sudeste,611,population_api
julho/2026,BR-07181/2026,Cotia,SP,3513009,Sao Paulo Ii,351300905000404,6,Sudeste,476,population_api
