round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region,ibge_population_2022,validation
14/08/2026,BR-06773/2026,Adustina,BA,2900355,Cedro,290035505000010,6,Nordeste,514,population_api
14/08/2026,BR-06773/2026,Adustina,BA,2900355,Adustina,290035505000033,6,Nordeste,752,population_api
14/08/2026,BR-06773/2026,Ananindeua,PA,1500800,Jaderlandia,150080005000103,6,Norte,935,population_api
14/08/2026,BR-06773/2026,Ananindeua,PA,1500800,Aguas Brancas,150080005000362,6,Norte,1136,population_api
14/08/2026,BR-06773/2026,Ananindeua,PA,1500800,Coqueiro,150080005000701,6,Norte,761,population_api
14/08/2026,BR-06773/2026,Angicos,RN,2400802,Alto Do Triangulo,240080205000004,6,Nordeste,672,population_api
14/08/2026,BR-06773/2026,Angicos,RN,2400802,Alto Da Esperanca,240080205000008,6,Nordeste,1015,population_api
14/08/2026,BR-06773/2026,Angicos,RN,2400802,Alto Do Triangulo,240080205000015,6,Nordeste,1064,population_api
14/08/2026,BR-06773/2026,Araguaína,TO,1702109,Loteamento Ceu Azul,170210905000088,6,Norte,1009,population_api
14/08/2026,BR-06773/2026,Araguaína,TO,1702109,Eldorado,170210905000293,6,Norte,792,population_api
14/08/2026,BR-06773/2026,Araraquara,SP,3503208,Jardim Roberto Selmi Dei,350320805000232,6,Sudeste,615,population_api
14/08/2026,BR-06773/2026,Araraquara,SP,3503208,Vila Xavier,350320825000011,6,Sudeste,552,population_api
14/08/2026,BR-06773/2026,Araçariguama,SP,3502754,Vila Nova,350275405000007,6,Sudeste,725,population_api
14/08/2026,BR-06773/2026,Araçariguama,SP,3502754,Jardim Brasil,350275405000032,6,Sudeste,1403,population_api
14/08/2026,BR-06773/2026,Baraúna,RN,2401453,Centro,240145305000003,6,Nordeste,969,population_api
14/08/2026,BR-06773/2026,Baraúna,RN,2401453,Zona Rural,240145305000025,6,Nordeste,133,population_api
14/08/2026,BR-06773/2026,Baraúna,RN,2401453,Subestacao,240145305000053,6,Nordeste,825,population_api
14/08/2026,BR-06773/2026,Bataguassu,MS,5001904,Centro,500190405000001,6,Centro-Oeste,352,population_api
14/08/2026,BR-06773/2026,Bataguassu,MS,5001904,Reta A1,500190405000023,6,Centro-Oeste,330,population_api
14/08/2026,BR-06773/2026,Bataguassu,MS,5001904,Jardim Campo Grande,500190405000043,6,Centro-Oeste,826,population_api
14/08/2026,BR-06773/2026,Bauru,SP,3506003,Bacia Do Córrego Água Do Sobrado,350600305000211,6,Sudeste,767,population_api
14/08/2026,BR-06773/2026,Bauru,SP,3506003,Bacia Do Córrego Água Da Grama,350600305000590,6,Sudeste,828,population_api
14/08/2026,BR-06773/2026,Belo Horizonte,MG,3106200,Casa Branca,310620005630363,6,Sudeste,683,population_api
14/08/2026,BR-06773/2026,Belo Horizonte,MG,3106200,Conjunto Novo Dom Bosco,310620005650505,6,Sudeste,254,population_api
14/08/2026,BR-06773/2026,Belo Horizonte,MG,3106200,Bairro Novo Das Indústrias,310620025610222,6,Sudeste,562,population_api
14/08/2026,BR-06773/2026,Belo Horizonte,MG,3106200,Goiânia,310620060640061,6,Sudeste,671,population_api
14/08/2026,BR-06773/2026,Belo Horizonte,MG,3106200,Vila Santa Monica 1ª Seção,310620060690090,6,Sudeste,561,population_api
14/08/2026,BR-06773/2026,Belo Oriente,MG,3106309,Cachoeira Alegre,310630905000023,6,Sudeste,490,population_api
14/08/2026,BR-06773/2026,Belo Oriente,MG,3106309,Perpetuo Socorro,310630910000018,6,Sudeste,386,population_api
14/08/2026,BR-06773/2026,Belém,PA,1501402,Coqueiro,150140245000324,6,Norte,956,population_api
14/08/2026,BR-06773/2026,Belém,PA,1501402,Marco,150140255000371,6,Norte,271,population_api
14/08/2026,BR-06773/2026,Belém,PA,1501402,Sacramenta,150140275000171,6,Norte,777,population_api
14/08/2026,BR-06773/2026,Bragança Paulista,SP,3507605,Bianchi,350760505000252,6,Sudeste,289,population_api
14/08/2026,BR-06773/2026,Bragança Paulista,SP,3507605,Mourão,350760505000573,6,Sudeste,548,population_api
14/08/2026,BR-06773/2026,Brasília,DF,5300108,Plano Piloto,530010805060164,6,Centro-Oeste,375,population_api
14/08/2026,BR-06773/2026,Brasília,DF,5300108,Ceilândia,530010805150223,6,Centro-Oeste,669,population_api
14/08/2026,BR-06773/2026,Brasília,DF,5300108,Guará,530010805160304,6,Centro-Oeste,748,population_api
14/08/2026,BR-06773/2026,Brasília,DF,5300108,Santa Maria,530010805250083,6,Centro-Oeste,301,population_api
14/08/2026,BR-06773/2026,Brasília,DF,5300108,Park Way,530010805420002,6,Centro-Oeste,1288,population_api
14/08/2026,BR-06773/2026,Brumado,BA,2904605,Monsenhor Antonio Da Silveira Fagundes,290460505000065,6,Nordeste,908,population_api
14/08/2026,BR-06773/2026,Brumado,BA,2904605,Sao Jorge,290460505000133,6,Nordeste,547,population_api
14/08/2026,BR-06773/2026,Cabo de Santo Agostinho,PE,2602902,Malaquias,260290205000157,6,Nordeste,373,population_api
14/08/2026,BR-06773/2026,Cabo de Santo Agostinho,PE,2602902,Jucaral,260290210000004,6,Nordeste,556,population_api
14/08/2026,BR-06773/2026,Cabo de Santo Agostinho,PE,2602902,Paiva,260290220000060,6,Nordeste,507,population_api
14/08/2026,BR-06773/2026,Cajamar,SP,3509205,Guaturinho,350920505000029,6,Sudeste,507,population_api
14/08/2026,BR-06773/2026,Cajamar,SP,3509205,Centro,350920515000035,6,Sudeste,174,population_api
14/08/2026,BR-06773/2026,Campinas,SP,3509502,Cambui,350950205001678,6,Sudeste,258,population_api
14/08/2026,BR-06773/2026,Campinas,SP,3509502,Jardim Novo Maracana,350950235000052,6,Sudeste,962,population_api
14/08/2026,BR-06773/2026,Campo Mourão,PR,4104303,Jardim Bandeirantes,410430305020014,6,Sul,796,population_api
14/08/2026,BR-06773/2026,Campo Mourão,PR,4104303,Zona 3,410430305030026,6,Sul,669,population_api
14/08/2026,BR-06773/2026,Campo Mourão,PR,4104303,Vila Cândida,410430305050033,6,Sul,513,population_api
14/08/2026,BR-06773/2026,Campos dos Goytacazes,RJ,3301009,Centro,330100905070268,6,Sudeste,427,population_api
14/08/2026,BR-06773/2026,Campos dos Goytacazes,RJ,3301009,Parque Vera Cruz,330100905080343,6,Sudeste,341,population_api
14/08/2026,BR-06773/2026,Campos dos Goytacazes,RJ,3301009,Conselheiro Josino,330100985000010,6,Sudeste,344,population_api
14/08/2026,BR-06773/2026,Cansanção,BA,2906808,Centro,290680805000011,6,Nordeste,1039,population_api
14/08/2026,BR-06773/2026,Cansanção,BA,2906808,Fazenda Pedra,290680805000071,6,Nordeste,531,population_api
14/08/2026,BR-06773/2026,Carapicuíba,SP,3510609,Vila Creti,351060905000603,6,Sudeste,289,population_api
14/08/2026,BR-06773/2026,Carapicuíba,SP,3510609,Vila Veloso,351060930000310,6,Sudeste,415,population_api
14/08/2026,BR-06773/2026,Cascavel,PR,4104808,Centro,410480805000019,6,Sul,721,population_api
14/08/2026,BR-06773/2026,Cascavel,PR,4104808,Centro,410480805000233,6,Sul,595,population_api
14/08/2026,BR-06773/2026,Cascavel,PR,4104808,Pioneiros Catarinenses,410480805000450,6,Sul,1103,population_api
14/08/2026,BR-06773/2026,Casimiro de Abreu,RJ,3301306,Mataruna,330130605000022,6,Sudeste,497,population_api
14/08/2026,BR-06773/2026,Casimiro de Abreu,RJ,3301306,Vila Nova,330130610000009,6,Sudeste,501,population_api
14/08/2026,BR-06773/2026,Casimiro de Abreu,RJ,3301306,Palmital,330130610000073,6,Sudeste,495,population_api
14/08/2026,BR-06773/2026,Catuji,MG,3115458,Formoso,311545805000009,6,Sudeste,691,population_api
14/08/2026,BR-06773/2026,Catuji,MG,3115458,Santa Barbara,311545805000010,6,Sudeste,348,population_api
14/08/2026,BR-06773/2026,Catuji,MG,3115458,Centro,311545805000016,6,Sudeste,525,population_api
14/08/2026,BR-06773/2026,Catunda,CE,2303659,Bela Vista,230365905000018,6,Nordeste,384,population_api
14/08/2026,BR-06773/2026,Catunda,CE,2303659,Açude,230365905000032,6,Nordeste,509,population_api
14/08/2026,BR-06773/2026,Caxias,MA,2103000,Nova Caxias,210300005000036,6,Nordeste,1180,population_api
14/08/2026,BR-06773/2026,Caxias,MA,2103000,Vila Conquista,210300005000210,6,Nordeste,689,population_api
14/08/2026,BR-06773/2026,Chapecó,SC,4204202,Passo Dos Fortes,420420205000181,6,Sul,1091,population_api
14/08/2026,BR-06773/2026,Chapecó,SC,4204202,Santa Paulina,420420205000484,6,Sul,700,population_api
14/08/2026,BR-06773/2026,Conceição de Macabu,RJ,3301405,Centro,330140505000024,6,Sudeste,531,population_api
14/08/2026,BR-06773/2026,Conceição de Macabu,RJ,3301405,Usina,330140505000082,6,Sudeste,523,population_api
14/08/2026,BR-06773/2026,Congonhal,MG,3117900,Santa Edwirges,311790005000003,6,Sudeste,487,population_api
14/08/2026,BR-06773/2026,Congonhal,MG,3117900,Centro,311790005000026,6,Sudeste,406,population_api
14/08/2026,BR-06773/2026,Congonhinhas,PR,4106001,Centro,410600105000001,6,Sul,630,population_api
14/08/2026,BR-06773/2026,Congonhinhas,PR,4106001,Centro,410600105000004,6,Sul,814,population_api
14/08/2026,BR-06773/2026,Congonhinhas,PR,4106001,Zona Rural,410600105000006,6,Sul,185,population_api
14/08/2026,BR-06773/2026,Coremas,PB,2504801,Centro,250480105000001,6,Nordeste,217,population_api
14/08/2026,BR-06773/2026,Coremas,PB,2504801,Bela Vista,250480105000017,6,Nordeste,645,population_api
14/08/2026,BR-06773/2026,Coremas,PB,2504801,Bairro Linha De Ferro,250480105000025,6,Nordeste,436,population_api
