uf,municipio,bolsonaro_2t,bolsonaro_2t_pct,eleitores_2026,venceu,capital,nao_visitado
AM,Manaus,692580,61.276,1472357,True,True,True
CE,Fortaleza,633009,41.822,1790488,False,True,True
BA,Salvador,451131,29.275,1951766,False,True,False
PE,Recife,433317,43.681,1228646,False,True,True
PA,Belém,427051,49.72,1047380,False,True,False
AL,Maceió,273549,57.176,644063,True,True,True
MA,São Luís,238285,39.621,756289,False,True,False
PB,João Pessoa,228326,49.899,585308,False,True,False
RN,Natal,219306,47.042,570537,False,True,False
RO,Porto Velho,169299,64.634,368740,True,True,False
PE,Jaboatão dos Guararapes,161952,44.254,498190,False,False,True
PI,Teresina,160558,33.556,592211,False,True,True
RR,Boa Vista,144799,79.468,241187,True,True,True
SE,Aracaju,142489,42.743,421507,False,True,True
AC,Rio Branco,142090,72.509,270429,True,True,True
PA,Ananindeua,138978,50.284,358350,True,False,False
AP,Macapá,125261,54.922,321670,True,True,True
BA,Feira de Santana,124354,35.965,434575,False,False,False
PB,Campina Grande,115859,48.169,304226,False,False,False
PA,Santarém,102608,55.573,253167,True,False,False
PE,Olinda,101401,41.178,301760,False,False,True
TO,Palmas,95715,60.321,218529,True,True,True
BA,Vitória da Conquista,84019,41.69,264101,False,False,False
PA,Parauapebas,83810,59.779,200993,True,False,False
PE,Caruaru,83013,42.31,254240,False,False,True
MA,Imperatriz,79356,54.792,194926,True,False,False
PE,Paulista,77951,41.724,237143,False,False,True
PA,Marabá,74985,53.988,179484,True,False,False
CE,Caucaia,74827,38.2,249363,False,False,True
RN,Parnamirim,60389,53.667,147021,True,False,False
PE,Petrolina,59182,32.384,248232,False,False,True
PA,Castanhal,58469,52.248,143786,True,False,False
CE,Maracanaú,56677,39.287,179318,False,False,True
RN,Mossoró,55207,36.685,187535,False,False,False
AL,Arapiraca,54674,47.262,158710,False,False,True
BA,Itabuna,52768,47.072,141218,False,False,False
TO,Araguaína,52404,58.23,124026,True,False,True
RO,Ji-Paraná,51415,75.47,98500,True,False,False
BA,Camaçari,49304,32.789,210377,False,False,False
PE,Camaragibe,43186,43.556,127008,False,False,True
