uf,nome,campo,candidato,partido,gov,gov_turno,flavio_1t,vao_1t,flavio_2t,vao_2t,pagina_gov,pagina_pres,pagina_pres_2t,nota
CE,Ceará,2026-09-03,Ciro Gomes,PSDB,49,2,16,33,,,20,67,,
BA,Bahia,2026-08-26,ACM Neto,União,44,2,16,28,,,28,75,,
PE,Pernambuco,2026-09-07,Raquel Lyra,PSD,45,2,20,25,26,19,19,54,72,
PB,Paraíba,2026-08-25,Lucas Ribeiro,PP,47,2,22,25,,,23,86,,Os dois finalistas sao do campo de direita.
MA,Maranhão,2026-08-23,Eduardo Braide,PSD,44,1,20,24,,,8,58,,
AP,Amapá,2026-08-25,Dr. Furlan,PSD,54,2,32,22,,,20,67,,Os dois finalistas sao do campo governista estadual.
MG,Minas Gerais,2026-09-07,Cleitinho Azevedo,Republicanos,49,2,28,21,40,9,20,93,112,
RJ,Rio de Janeiro,2026-09-07,Eduardo Paes,PSD,52,2,35,17,43,9,20,62,81,Paes disputa contra o candidato do PL; a comparacao inverte o sinal do vao.
SP,São Paulo,2026-09-07,Tarcísio,Republicanos,48,2,31,17,41,7,19,53,72,
RN,Rio Grande do Norte,2026-08-24,Allyson Bezerra,União,35,2,19,16,,,21,84,,
DF,Distrito Federal,2026-09-07,Celina Leão,PP,47,2,32,15,45,2,20,72,91,Os dois finalistas sao do campo de direita.
TO,Tocantins,2026-08-25,Professora Dorinha,União,46,2,32,14,,,21,108,,Os dois finalistas sao do campo de direita; nao ha candidatura do PT no 2o turno medido.
AL,Alagoas,2026-08-24,JHC,PSDB,42,2,30,12,,,20,67,,
AM,Amazonas,2026-08-28,Omar Aziz,PSD,45,2,35,10,,,21,108,,Os dois finalistas sao do campo governista estadual; a candidata do PL e a segunda.
PA,Pará,2026-08-28,Dr. Daniel,Podemos,36,2,28,8,,,20,67,,
RR,Roraima,2026-08-27,Arthur Henrique,PL,60,2,54,6,,,20,64,,Os dois finalistas sao do campo de direita.
AC,Acre,2026-08-27,Alan Rick,Republicanos,42,2,44,-2,,,21,108,,Os dois finalistas sao do campo de direita.
RO,Rondônia,2026-08-25,Marcos Rogério,PL,40,2,46,-6,,,21,108,,Os dois finalistas sao do campo de direita.
