uf,nome,regiao,reserva_pp,reserva_eleitores,terceira_direita_pp,terceira_direita_eleitores,flavio_pp,lula_pp,votantes_esperados,fontes
AC,Acre,Norte,8.35,39786,11.19,53350,49.6,29.25,476763,quaest+realtime
AL,Alagoas,Nordeste,4.48,84871,9.06,171700,34.54,49.13,1895843,quaest+realtime+atlas
AM,Amazonas,Norte,6.39,142989,13.61,304438,39.32,40.84,2237693,quaest+atlas
AP,Amapá,Norte,9.82,45664,14.13,65729,34.7,37.24,465006,quaest+realtime
BA,Bahia,Nordeste,4.96,441399,12.89,1147875,23.39,56.32,8905158,quaest+realtime+atlas
CE,Ceará,Nordeste,4.26,246380,10.09,583105,26.04,57.78,5779038,quaest+realtime+atlas
DF,Distrito Federal,Centro-Oeste,11.5,213737,20.51,381022,36.62,34.55,1858041,quaest+realtime+atlas
ES,Espírito Santo,Sudeste,8.79,208239,15.12,358415,41.66,35.16,2369947,quaest+realtime+atlas
GO,Goiás,Centro-Oeste,19.93,792602,33.14,1318307,34.0,26.92,3977593,quaest+realtime+atlas
MA,Maranhão,Nordeste,4.05,163466,7.18,289799,24.71,62.13,4036201,quaest+realtime
MG,Minas Gerais,Sudeste,8.89,1131246,13.61,1732936,36.61,41.71,12729695,quaest+realtime+atlas
MS,Mato Grosso do Sul,Centro-Oeste,10.0,157727,16.85,265859,42.3,32.48,1577800,quaest+realtime+atlas
MT,Mato Grosso,Centro-Oeste,8.28,167424,15.09,305057,47.37,31.37,2022031,quaest+realtime+atlas
PA,Pará,Norte,5.55,273773,11.7,577416,33.19,41.2,4937288,quaest+realtime
PB,Paraíba,Nordeste,4.98,133920,10.64,285839,26.77,53.12,2686461,quaest+atlas
PE,Pernambuco,Nordeste,6.11,361190,10.41,615383,25.5,56.41,5911463,quaest+realtime+atlas
PI,Piauí,Nordeste,5.31,118386,14.9,332195,19.7,60.46,2229497,atlas
PR,Paraná,Sul,9.98,691674,13.48,934326,47.68,29.49,6932919,quaest+realtime+atlas
RJ,Rio de Janeiro,Sudeste,6.64,659915,13.43,1334399,39.47,35.36,9933490,quaest+realtime+atlas
RN,Rio Grande do Norte,Nordeste,3.47,75669,8.17,177796,25.7,57.16,2177535,quaest+realtime
RO,Rondônia,Norte,7.26,69403,10.73,102575,49.23,29.03,955967,quaest
RR,Roraima,Norte,7.58,25367,13.94,46642,58.87,20.27,334511,quaest+realtime+atlas
RS,Rio Grande do Sul,Sul,9.72,664575,15.16,1037102,40.52,35.33,6839536,quaest+realtime+atlas
SC,Santa Catarina,Sul,11.51,537591,17.7,826859,50.3,25.41,4670643,quaest+realtime+atlas
SE,Sergipe,Nordeste,2.31,32824,11.62,165116,26.3,58.12,1420961,realtime
SP,São Paulo,Sudeste,7.53,2012293,14.61,3906949,40.36,35.72,26735512,quaest+realtime+atlas
TO,Tocantins,Norte,8.64,83197,13.55,130600,37.64,39.16,963482,quaest+realtime
