pagina,pagina_contagem,regiao,uf,municipio,codigo_municipio,bairro,setor,entrevistas
1,6,CO,DF,Brasília,5300108,ASA NORTE,530010805060311,14
1,6,CO,DF,Brasília,5300108,CEILANDIA,530010805150251,10
1,6,CO,DF,Brasília,5300108,CEILANDIA,530010805150286,4
1,6,CO,GO,Aparecida de Goiânia,5201405,CENTRO,520140505000001,7
1,6,CO,GO,Aparecida de Goiânia,5201405,INDEPENDENCIA,520140505000220,7
1,6,CO,GO,Goianésia,5208608,SETOR CENTRAL,520860805000103,7
1,6,CO,GO,Goianésia,5208608,PARQUE DAS PALMEIRAS,520860805000113,7
1,6,CO,GO,Goiânia,5208707,CENTRO,520870705010008,7
1,6,CO,GO,Goiânia,5208707,SETOR LESTE VILA NOVA,520870705070005,7
1,6,CO,GO,Porangatu,5218003,CENTRO,521800305000001,7
1,6,CO,GO,Porangatu,5218003,SETOR GRUPIARA,521800305000012,7
1,6,CO,GO,Rio Verde,5218805,CENTRO,521880505000022,7
1,6,CO,GO,Rio Verde,5218805,BAIRRO MARTINS,521880505000063,7
1,6,CO,MS,Camapuã,5002605,CENTRO,500260505000007,7
1,6,CO,MS,Camapuã,5002605,BAIRRO ALTO,500260505000009,7
1,6,CO,MS,Campo Grande,5002704,CENTRO,500270405060001,7
1,6,CO,MS,Campo Grande,5002704,CABREUVA,500270405060034,1
1,6,CO,MS,Campo Grande,5002704,CENTRO,500270405060103,6
1,6,CO,MS,Nova Andradina,5006200,CENTRO,500620005000004,3
1,6,CO,MS,Nova Andradina,5006200,CENTRO,500620005000007,4
1,6,CO,MS,Nova Andradina,5006200,CRISTO REI,500620005000018,7
1,6,CO,MT,Mirassol d'Oeste,5105622,CENTRO,510562205000002,7
1,6,CO,MT,Mirassol d'Oeste,5105622,CIDADE TAMANDARE,510562205000026,7
1,6,N,AC,Rio Branco,1200401,CENTRO,120040105000002,7
1,6,N,AC,Rio Branco,1200401,6 DE AGOSTO,120040105000563,7
1,6,N,AM,Anamã,1300086,BAIRRO CENTRO,130008605000001,7
1,6,N,AM,Anamã,1300086,BAIRRO ESMERALDA MOURA,130008605000020,7
1,6,N,AM,Codajás,1301308,CENTRO,130130805000028,7
1,6,N,AM,Codajás,1301308,LAGUINHO,130130805000032,7
1,6,N,AM,Manaus,1302603,CENTRO,130260305060114,3
1,6,N,AM,Manaus,1302603,CENTRO,130260305060131,4
1,6,N,AM,Manaus,1302603,SAO LAZARO,130260305100155,7
1,6,N,AM,Manaus,1302603,ALEIXO,130260305110088,7
1,6,N,AM,Manaus,1302603,SAO JOSE OPERARIO,130260305140080,7
1,6,N,PA,Belém,1501402,BATISTA CAMPOS,150140205000018,7
1,6,N,PA,Belém,1501402,CAMPINA,150140205000046,7
1,6,N,PA,Capanema,1502202,TRES DE MAIO,150220205000011,7
1,6,N,PA,Capanema,1502202,CENTRO,150220205000093,7
1,6,N,PA,Marabá,1504208,BAIRRO BOM PLANALTO,150420805000090,7
1,6,N,PA,Marabá,1504208,CENTRO,150420805000203,7
1,6,N,PA,Salinópolis,1506203,ALACILANDIA,150620305000001,7
1,6,N,PA,Salinópolis,1506203,CENTRO,150620305000037,7
1,6,N,PA,Santa Izabel do Pará,1506500,CENTRO,150650005000001,7
1,6,N,PA,Santa Izabel do Pará,1506500,TRIANGULO,150650005000004,3
1,6,N,PA,Santa Izabel do Pará,1506500,SAO RAIMUNDO,150650005000062,4
1,6,N,RO,Guajará-Mirim,1100106,DEZ DE ABRIL,110010605000002,7
1,6,N,RO,Guajará-Mirim,1100106,CENTRO,110010605000027,7
1,6,N,TO,Gurupi,1709500,SETOR CENTRAL,170950005000009,7
1,6,N,TO,Gurupi,1709500,JARDIM DOS BURITIS,170950005000040,7
1,6,NE,AL,Batalha,2700706,CENTRO,270070605000005,7
1,6,NE,AL,Batalha,2700706,SAO FRANCISCO,270070605000045,7
1,6,NE,AL,Murici,2705507,CAMPO GRANDE,270550705000011,7
1,6,NE,AL,Murici,2705507,CONJ PEDRO TIMOTEO FILHO,270550705000031,2
1,6,NE,AL,Murici,2705507,CAMPO GRANDE,270550705000045,5
1,6,NE,AL,Piaçabuçu,2706802,CENTRO,270680205000001,7
1,6,NE,AL,Piaçabuçu,2706802,BRASILIA,270680205000008,7
1,6,NE,BA,Alagoinhas,2900702,SANTA TEREZINHA,290070205000009,7
1,6,NE,BA,Alagoinhas,2900702,CENTRO,290070205000125,7
1,6,NE,BA,Cruz das Almas,2909802,ITAPICURU,290980205000030,4
1,6,NE,BA,Cruz das Almas,2909802,COPLAN,290980205000074,3
1,6,NE,BA,Cruz das Almas,2909802,CENTRO,290980205000107,7
1,6,NE,BA,Feira de Santana,2910800,CENTRO,291080005080003,7
1,6,NE,BA,Feira de Santana,2910800,TOMBA,291080005090054,7
1,6,NE,BA,Muquém do São Francisco,2922250,CENTRO,292225005000004,7
1,6,NE,BA,Muquém do São Francisco,2922250,JAVI,292225005000046,7
1,6,NE,BA,Rafael Jambeiro,2925956,CENTRO,292595605000018,7
1,6,NE,BA,Rafael Jambeiro,2925956,ALTO BONITO CENTRO,292595605000028,7
1,6,NE,BA,Remanso,2926004,CENTRO,292600405000001,5
1,6,NE,BA,Remanso,2926004,CENTRO,292600405000003,7
1,6,NE,BA,Remanso,2926004,CENTRO,292600405000016,2
1,6,NE,BA,Salvador,2927408,PITUBA,292740805060076,7
1,6,NE,BA,Salvador,2927408,ENGENHO VELHO DE BROTAS,292740805070311,7
1,6,NE,BA,Salvador,2927408,LIBERDADE,292740805210142,7
1,6,NE,BA,Salvador,2927408,CENTRO,292740805270092,7
1,6,NE,BA,Simões Filho,2930709,CENTRO,293070905000003,7
1,6,NE,BA,Simões Filho,2930709,ENGENHO NOVO,293070905000009,7
2,7,NE,CE,Fortaleza,2304400,CENTRO/ Região Adm. XII (Prefeitura)/REGIONAL I (IBGE),230440005130003,7
2,7,NE,CE,Fortaleza,2304400,SAO JOAO DO TAUAPE / Região Adm. II (Prefeitura)/REGIONAL III (IBGE),230440005150456,3
2,7,NE,CE,Fortaleza,2304400,JOAQUIM TAVORA/ Região Adm. II (Prefeitura)/REGIONAL III (IBGE),230440005150489,4
2,7,NE,CE,Fortaleza,2304400,FARIAS BRITO/ Região Adm III (Prefeitura)/REGIONAL IV(IBGE),230440005160287,7
2,7,NE,CE,Fortaleza,2304400,JOSE BONIFACIO/ Região Adm. V (Prefeitura)/REGIONAL V(IBGE),230440005170223,7
2,7,NE,CE,Horizonte,2305233,CENTRO,230523305000017,7
2,7,NE,CE,Horizonte,2305233,HORIZONTE,230523305000052,7
2,7,NE,CE,Mulungu,2309102,BAIRRO BASTIOES,230910205000002,7
2,7,NE,CE,Mulungu,2309102,APA DA SERRA DE BATURITE,230910205000016,7
2,7,NE,CE,Quixeré,2311504,NOVA MORADA,231150405000007,7
2,7,NE,CE,Quixeré,2311504,CENTRO,231150405000020,7
2,7,NE,CE,Tamboril,2313203,SAO PEDRO,231320305000005,7
2,7,NE,CE,Tamboril,2313203,CENTRO,231320305000045,7
2,7,NE,CE,Viçosa do Ceará,2314102,CENTRO,231410205000001,7
