round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region
07/09,BR-01720/2026,Alpinópolis,MG,3101904,Santa Efigenia,310190405000009,6,Sudeste
07/09,BR-01720/2026,Alpinópolis,MG,3101904,Zona Rural,310190405000057,6,Sudeste
07/09,BR-01720/2026,América Dourada,BA,2901155,Nova America,290115505000015,6,Nordeste
07/09,BR-01720/2026,América Dourada,BA,2901155,Soares De Baixo,290115520000004,6,Nordeste
07/09,BR-01720/2026,Ananindeua,PA,1500800,Aguas Lindas,150080005000053,6,Norte
07/09,BR-01720/2026,Ananindeua,PA,1500800,Quinta Das Carmitas,150080005000305,6,Norte
07/09,BR-01720/2026,Ananindeua,PA,1500800,Carlos Mariguela,150080005000631,6,Norte
07/09,BR-01720/2026,Angra dos Reis,RJ,3300100,Morro Do Santo Antônio,330010005000182,6,Sudeste
07/09,BR-01720/2026,Angra dos Reis,RJ,3300100,Nova Angra,330010015000239,6,Sudeste
07/09,BR-01720/2026,Antônio Cardoso,BA,2901700,Centro,290170005000008,6,Nordeste
07/09,BR-01720/2026,Antônio Cardoso,BA,2901700,Limoeiro,290170015000016,6,Nordeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Nova Alexandrina,520110805000107,6,Centro-Oeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Arco Verde,520110805000315,6,Centro-Oeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Santo Andre,520110805000528,6,Centro-Oeste
07/09,BR-01720/2026,Aracaju,SE,2800308,Olaria,280030805000277,6,Nordeste
07/09,BR-01720/2026,Aracaju,SE,2800308,Jardim Centenário,280030805000704,6,Nordeste
07/09,BR-01720/2026,Aracaju,SE,2800308,São Conrado,280030805001314,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Nova Conceicao,210090705000004,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Zona Rural,210090705000052,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Baixao Da Subida,210090705000092,6,Nordeste
07/09,BR-01720/2026,Araranguá,SC,4201406,Polícia Rodoviária,420140605000040,6,Sul
07/09,BR-01720/2026,Araranguá,SC,4201406,Santa Rosa De Lima,420140605000096,6,Sul
07/09,BR-01720/2026,Araranguá,SC,4201406,Rio Dos Anjos,420140610000005,6,Sul
07/09,BR-01720/2026,Astolfo Dutra,MG,3104601,Zona Rural,310460105000013,6,Sudeste
