id,instituto,campo_fim,grupo,componentes,publicado,reponderado
realtime_2026-05-04,Real Time Big Data,2026-05-04,outros_centro_direita,aldo;caiado;cury;renan_santos;zema,14.0,15.666
realtime_2026-05-04,Real Time Big Data,2026-05-04,outros_esquerda_nanicos,daciolo;rui,1.0,1.0
quaest_2026-05-11,Quaest,2026-05-11,outros_centro_direita,aldo;caiado;cury;renan_santos;zema,11.0,10.924
quaest_2026-05-11,Quaest,2026-05-11,outros_esquerda_nanicos,daciolo;hertz;samara,2.0,2.0
gerp_2026-05-12,Gerp,2026-05-12,outros_centro_direita,aldo;caiado;renan_santos;zema,9.0,9.059
gerp_2026-05-12,Gerp,2026-05-12,outros_esquerda_nanicos,ciro,7.0,7.573
atlas_2026-05-18,AtlasIntel,2026-05-18,outros_centro_direita,aldo;caiado;cury;renan_santos;zema,15.4,15.847
atlas_2026-05-18,AtlasIntel,2026-05-18,outros_esquerda_nanicos,,0,0
datafolha_2026-05-21,Datafolha,2026-05-21,outros_centro_direita,aldo;caiado;cury;renan_santos;zema,13.0,14.265
datafolha_2026-05-21,Datafolha,2026-05-21,outros_esquerda_nanicos,daciolo;hertz;rui;samara,5.0,4.702
nexus_2026-05-24,Nexus,2026-05-24,outros_centro_direita,caiado;cury;renan_santos;zema,13.0,13.396
nexus_2026-05-24,Nexus,2026-05-24,outros_esquerda_nanicos,daciolo;joaquim,3.0,3.115
poderdata_2026-05-28,PoderData,2026-05-28,outros_centro_direita,caiado;cury;renan_santos;zema,13.0,13.582
poderdata_2026-05-28,PoderData,2026-05-28,outros_esquerda_nanicos,joaquim,3.0,3.0
realtime_2026-05-30,Real Time Big Data,2026-05-30,outros_centro_direita,aecio;caiado;cury;renan_santos;zema,20.0,21.603
realtime_2026-05-30,Real Time Big Data,2026-05-30,outros_esquerda_nanicos,joaquim;outros_esquerda,4.0,4.243
quaest_2026-06-08,Quaest,2026-06-08,outros_centro_direita,aecio;caiado;cury;renan_santos;zema,11.0,10.789
quaest_2026-06-08,Quaest,2026-06-08,outros_esquerda_nanicos,daciolo;edmilson;hero;joaquim;samara,2.0,2.0
nexus_2026-06-14,Nexus,2026-06-14,outros_centro_direita,aecio;caiado;cury;renan_santos;zema,13.0,13.303
nexus_2026-06-14,Nexus,2026-06-14,outros_esquerda_nanicos,daciolo;joaquim,3.0,2.899
datafolha_2026-06-18,Datafolha,2026-06-18,outros_centro_direita,aecio;caiado;cury;renan_santos;zema,12.0,13.019
