turno,id,instituto,campo_fim,categoria,componentes,publicado,reponderado
1t,realtime_2026-05-04,Real Time Big Data,2026-05-04,indecisos,indecisos,5.0,4.231
1t,realtime_2026-05-04,Real Time Big Data,2026-05-04,branco_nulo,branco_nulo,6.0,5.553
1t,quaest_2026-05-11,Quaest,2026-05-11,indecisos,indecisos,5.0,5.063
1t,quaest_2026-05-11,Quaest,2026-05-11,branco_nulo,branco_nulo,10.0,9.972
1t,gerp_2026-05-12,Gerp,2026-05-12,indecisos,indecisos,6.0,5.52
1t,gerp_2026-05-12,Gerp,2026-05-12,branco_nulo,branco_nulo,6.0,5.51
1t,atlas_2026-05-18,AtlasIntel,2026-05-18,indecisos,indecisos,1.9,1.503
1t,atlas_2026-05-18,AtlasIntel,2026-05-18,branco_nulo,branco_nulo,1.4,1.376
1t,datafolha_2026-05-21,Datafolha,2026-05-21,indecisos,indecisos,3.0,2.405
1t,datafolha_2026-05-21,Datafolha,2026-05-21,branco_nulo,branco_nulo,9.0,8.463
1t,gerp_2026-05-21,Gerp,2026-05-21,indecisos,indecisos,6.0,5.906
1t,gerp_2026-05-21,Gerp,2026-05-21,branco_nulo,branco_nulo,4.0,3.956
1t,nexus_2026-05-24,Nexus,2026-05-24,indecisos,indecisos,2.0,1.89
1t,nexus_2026-05-24,Nexus,2026-05-24,branco_nulo,branco_nulo,7.0,6.822
1t,poderdata_2026-05-28,PoderData,2026-05-28,indecisos,indecisos,3.0,2.695
1t,poderdata_2026-05-28,PoderData,2026-05-28,branco_nulo,branco_nulo,6.0,5.418
1t,realtime_2026-05-30,Real Time Big Data,2026-05-30,indecisos,indecisos,4.0,3.418
1t,realtime_2026-05-30,Real Time Big Data,2026-05-30,branco_nulo,branco_nulo,3.0,2.463
1t,gerp_2026-06-05,Gerp,2026-06-05,indecisos,indecisos,12.0,11.429
1t,gerp_2026-06-05,Gerp,2026-06-05,branco_nulo,branco_nulo,7.0,5.825
1t,quaest_2026-06-08,Quaest,2026-06-08,indecisos,indecisos,10.0,9.901
1t,quaest_2026-06-08,Quaest,2026-06-08,branco_nulo,branco_nulo,9.0,9.028
1t,mda_2026-06-14,MDA,2026-06-14,indecisos,indecisos,7.9,7.895
1t,mda_2026-06-14,MDA,2026-06-14,branco_nulo,branco_nulo,7.0,6.958
1t,nexus_2026-06-14,Nexus,2026-06-14,indecisos,indecisos,3.0,2.706
1t,nexus_2026-06-14,Nexus,2026-06-14,branco_nulo,branco_nulo,5.0,4.72
1t,datafolha_2026-06-18,Datafolha,2026-06-18,indecisos,indecisos,4.0,3.415
1t,datafolha_2026-06-18,Datafolha,2026-06-18,branco_nulo,branco_nulo,7.0,6.021
1t,gerp_2026-06-18,Gerp,2026-06-18,indecisos,indecisos,11.0,9.408
1t,gerp_2026-06-18,Gerp,2026-06-18,branco_nulo,branco_nulo,6.0,5.807
1t,poderdata_2026-06-24,PoderData,2026-06-24,indecisos,indecisos,3.0,2.847
1t,poderdata_2026-06-24,PoderData,2026-06-24,branco_nulo,branco_nulo,5.0,4.71
1t,nexus_2026-06-28,Nexus,2026-06-28,indecisos,indecisos,3.0,2.864
1t,nexus_2026-06-28,Nexus,2026-06-28,branco_nulo,branco_nulo,5.0,4.571
1t,atlas_2026-06-30,AtlasIntel,2026-06-30,indecisos,indecisos,0.1,0.14
1t,atlas_2026-06-30,AtlasIntel,2026-06-30,branco_nulo,branco_nulo,1.1,0.939
1t,gerp_2026-07-07,Gerp,2026-07-07,indecisos,indecisos,11.0,9.351
1t,gerp_2026-07-07,Gerp,2026-07-07,branco_nulo,branco_nulo,6.0,5.259
1t,nexus_2026-07-12,Nexus,2026-07-12,indecisos,indecisos,3.0,2.876
1t,nexus_2026-07-12,Nexus,2026-07-12,branco_nulo,branco_nulo,6.0,5.631
1t,quaest_2026-07-13,Quaest,2026-07-13,indecisos,indecisos,11.0,11.014
1t,quaest_2026-07-13,Quaest,2026-07-13,branco_nulo,branco_nulo,8.0,7.986
1t,poderdata_2026-07-15,PoderData,2026-07-15,indecisos,indecisos,5.0,4.567
1t,poderdata_2026-07-15,PoderData,2026-07-15,branco_nulo,branco_nulo,5.0,4.693
1t,gerp_2026-07-17,Gerp,2026-07-17,indecisos,indecisos,7.0,6.624
1t,gerp_2026-07-17,Gerp,2026-07-17,branco_nulo,branco_nulo,5.0,4.77
1t,realtime_2026-07-20,Real Time Big Data,2026-07-20,indecisos,indecisos,3.0,2.459
1t,realtime_2026-07-20,Real Time Big Data,2026-07-20,branco_nulo,branco_nulo,3.0,2.63
1t,datafolha_2026-07-23,Datafolha,2026-07-23,indecisos,indecisos,3.0,2.703
1t,datafolha_2026-07-23,Datafolha,2026-07-23,branco_nulo,branco_nulo,8.0,7.706
1t,nexus_2026-07-26,Nexus,2026-07-26,indecisos,indecisos,2.0,1.793
1t,nexus_2026-07-26,Nexus,2026-07-26,branco_nulo,branco_nulo,6.0,5.745
1t,atlas_2026-07-27,AtlasIntel,2026-07-27,indecisos,indecisos,1.0,0.977
1t,atlas_2026-07-27,AtlasIntel,2026-07-27,branco_nulo,branco_nulo,0.6,0.557
1t,poderdata_2026-07-29,PoderData,2026-07-29,indecisos,indecisos,4.0,3.863
1t,poderdata_2026-07-29,PoderData,2026-07-29,branco_nulo,branco_nulo,5.0,4.647
1t,nexus_2026-08-02,Nexus,2026-08-02,indecisos,indecisos,3.0,3.034
1t,nexus_2026-08-02,Nexus,2026-08-02,branco_nulo,branco_nulo,4.0,3.781
1t,quaest_2026-08-03,Quaest,2026-08-03,indecisos,indecisos,10.0,10.029
1t,quaest_2026-08-03,Quaest,2026-08-03,branco_nulo,branco_nulo,8.0,7.944
1t,mda_2026-08-09,MDA,2026-08-09,indecisos,indecisos,7.2,6.973
1t,mda_2026-08-09,MDA,2026-08-09,branco_nulo,branco_nulo,6.8,6.573
1t,nexus_2026-08-09,Nexus,2026-08-09,indecisos,indecisos,3.0,2.932
1t,nexus_2026-08-09,Nexus,2026-08-09,branco_nulo,branco_nulo,5.0,4.834
1t,palver_2026-08-09,Palver,2026-08-09,indecisos,indecisos,0.358238901116925,0.359
1t,palver_2026-08-09,Palver,2026-08-09,branco_nulo,branco_nulo,1.1206653559400899,1.153
1t,gerp_2026-08-10,Gerp,2026-08-10,indecisos,indecisos,7.0,6.276
1t,gerp_2026-08-10,Gerp,2026-08-10,branco_nulo,branco_nulo,4.0,3.667
1t,poderdata_2026-08-12,PoderData,2026-08-12,indecisos,indecisos,2.0,1.829
1t,poderdata_2026-08-12,PoderData,2026-08-12,branco_nulo,branco_nulo,4.0,3.539
1t,quaest_2026-08-13,Quaest,2026-08-13,indecisos,indecisos,10.0,10.043
1t,quaest_2026-08-13,Quaest,2026-08-13,branco_nulo,branco_nulo,8.0,7.889
1t,nexus_2026-08-16,Nexus,2026-08-16,indecisos,indecisos,2.0,2.049
1t,nexus_2026-08-16,Nexus,2026-08-16,branco_nulo,branco_nulo,5.0,4.563
1t,datafolha_2026-08-19,Datafolha,2026-08-19,indecisos,indecisos,4.0,3.702
1t,datafolha_2026-08-19,Datafolha,2026-08-19,branco_nulo,branco_nulo,6.0,5.442
1t,nexus_2026-08-23,Nexus,2026-08-23,indecisos,indecisos,3.0,3.051
1t,nexus_2026-08-23,Nexus,2026-08-23,branco_nulo,branco_nulo,5.0,4.801
1t,nexus_2026-08-30,Nexus,2026-08-30,indecisos,indecisos,3.0,2.715
1t,nexus_2026-08-30,Nexus,2026-08-30,branco_nulo,branco_nulo,3.0,2.944
1t,realtime_2026-08-31,Real Time Big Data,2026-08-31,indecisos,indecisos,3.0,2.801
1t,realtime_2026-08-31,Real Time Big Data,2026-08-31,branco_nulo,branco_nulo,3.0,2.738
1t,quaest_2026-09-01,Quaest,2026-09-01,indecisos,indecisos,11.0,11.183
1t,quaest_2026-09-01,Quaest,2026-09-01,branco_nulo,branco_nulo,7.0,7.056
1t,datafolha_2026-09-02,Datafolha,2026-09-02,indecisos,indecisos,3.0,2.52
1t,datafolha_2026-09-02,Datafolha,2026-09-02,branco_nulo,branco_nulo,6.0,5.65
1t,quaest_2026-09-06,Quaest,2026-09-06,indecisos,indecisos,10.0,10.169
1t,quaest_2026-09-06,Quaest,2026-09-06,branco_nulo,branco_nulo,8.0,8.029
1t,nexus_2026-09-07,Nexus,2026-09-07,indecisos,indecisos,2.0,1.838
1t,nexus_2026-09-07,Nexus,2026-09-07,branco_nulo,branco_nulo,3.0,2.89
1t,datafolha_2026-09-10,Datafolha,2026-09-10,indecisos,indecisos,4.0,3.369
