2018_DEPUTADO ESTADUAL_1_total,2018_DEPUTADO FEDERAL_1_total,2018_GOVERNADOR_1_total,2018_GOVERNADOR_2_total,2018_PRESIDENTE_1_total,2018_PRESIDENTE_2_total,2018_SENADOR_1_total,2022_DEPUTADO ESTADUAL_1_total,2022_DEPUTADO FEDERAL_1_total,2022_GOVERNADOR_1_total,2022_GOVERNADOR_2_total,2022_PRESIDENTE_1_total,2022_PRESIDENTE_2_total,2022_SENADOR_1_total,carla_2018_1,carla_2022_1,diferenca_governo_presidente_pp,eduardo_2018_1,eduardo_2022_1,eleitorado,gil_2018_1,gil_2022_1,haddad_2022_1,haddad_2022_2,id,jair_2018_1,jair_2018_1_pct,jair_2018_2,jair_2018_2_pct,jair_2022_1,jair_2022_1_pct,jair_2022_2,jair_2022_2_pct,mario_2022_1,mudanca_jair_pp,nome,pib_2023,pib_pc_2023,populacao,pt_2018_1,pt_2018_2,pt_2022_1,pt_2022_2,regiao,renda,tarcisio_2022_1,tarcisio_2022_1_pct,tarcisio_2022_2,tarcisio_2022_2_pct,virada
15665,16124,16415,17340,18786,18244,28195,17003,17710,18091,19284,19663,20059,17225,33,841,0.9650813444044672,2179,678,25558,127,108,3337,4738,3500105,13175,70.13201320132013,15088,82.70116202587153,13529,68.80435335401515,14937,74.46532728451069,58,-8.235834741360833,Adamantina,1705894987.0,49179.66,34687.0,1741,3156,4697,5122,Presidente Prudente,1868.26,11940,65.99966834337516,14546,75.43040862891516,Jair → Jair
2333,2412,2353,2565,2753,2702,4059,2714,2880,2890,2974,3084,3118,2758,5,62,3.180827811527138,179,90,3978,10,25,561,967,3500204,1628,59.135488557936796,2041,75.53663952627683,1822,59.079118028534374,2005,64.30404105195639,4,-11.23259847432044,Adolfo,215282976.0,49478.96,4351.0,443,661,1101,1113,São José do Rio Preto,1514.8,1353,46.81660899653979,2007,67.48486886348353,Jair → Jair
11987,12749,13088,14092,15653,15100,22251,13368,14592,15135,16128,17036,17333,13590,35,1046,0.45281498373594786,1448,575,24260,135,153,4396,6351,3500303,8604,54.96709895866607,10765,71.29139072847683,9134,53.61587227048603,10429,60.16846477816881,42,-11.122925950308016,Aguaí,1773842732.0,55308.14,32072.0,2283,4335,6397,6904,Campinas,1321.67,6903,45.60951437066402,9777,60.62127976190476,Jair → Jair
3551,3735,3818,3881,4366,4169,6841,3872,4158,4210,4406,4623,4652,3968,40,341,0.9409704346726429,438,137,5909,38,21,1226,1616,3500402,2562,58.680714612918,3172,76.08539218037899,2601,56.26216742375081,2902,62.38177128116939,29,-13.703620899209596,Águas da Prata,272358712.0,36960.06,7369.0,539,997,1556,1750,Campinas,1684.99,2034,48.31353919239905,2790,63.322741715842035,Jair → Jair
8387,8811,8823,9303,10183,9933,15712,9310,9848,9905,10500,10915,11133,9459,24,868,1.031925677843219,1063,494,14085,152,126,2113,2855,3500501,7014,68.87950505744868,8221,82.76452229940602,7077,64.83737975263399,7991,71.77759813168059,31,-10.986924167725434,Águas de Lindóia,801114539.0,44680.12,17930.0,766,1712,2929,3142,Campinas,1742.52,5720,57.748611812216055,7645,72.80952380952381,Jair → Jair
2811,2888,3006,3078,3407,3298,4955,3103,3282,3356,3543,3695,3747,3172,4,157,0.8227185756508106,286,192,5421,16,24,866,1184,3500550,2067,60.669210449075436,2448,74.22680412371135,2190,59.26928281461434,2464,65.75927408593542,27,-8.46753003777593,Águas de Santa Bárbara,375561879.0,52328.53,7177.0,536,850,1210,1283,Sorocaba,1946.69,1905,56.76400476758045,2359,66.58199266158623,Jair → Jair
2448,2500,2577,2542,2783,2622,4631,2844,2880,2942,2907,3042,2985,2836,52,719,-0.14143645644804792,253,85,4347,25,21,724,940,3500600,1782,64.03162055335969,2062,78.64225781845919,1846,60.68376068376068,2024,67.80569514237855,23,-10.836562676080632,Águas de São Pedro,185389984.0,66687.04,2780.0,283,560,898,961,Campinas,2932.68,1529,51.97144799456152,1967,67.6642586859305,Jair → Jair
17660,18149,18748,18772,20855,19950,32274,18777,20013,20194,20807,21901,21947,19293,67,714,1.2152915940143032,1828,631,28888,155,127,4377,6667,3500709,13281,63.68257012706785,15379,77.08771929824562,13235,60.43103054655039,14648,66.74260719004876,51,-10.345112108196858,Agudos,3415808553.0,90653.09,37680.0,2471,4571,6905,7299,Bauru,1590.76,9896,49.00465484797465,14140,67.95789878406306,Jair → Jair
2735,2888,2868,2983,3304,3179,5009,3327,3596,3531,3666,3771,3819,3330,11,72,2.445113565602952,319,79,5149,12,17,810,1165,3500758,1942,58.7772397094431,2432,76.50204466813463,2282,60.514452399893926,2512,65.77638125163655,4,-10.72566341649808,Alambari,160252134.0,26095.45,6141.0,389,747,1225,1307,Sorocaba,1317.23,1538,43.55706598697253,2501,68.2214948172395,Jair → Jair
2301,2527,2478,2611,2777,2733,4146,2656,2792,2909,3044,3055,3104,2737,10,66,1.3796788002763591,68,68,3972,6,23,888,1125,3500808,1599,57.5801224342816,1880,68.78887669227954,1752,57.34860883797054,1914,61.66237113402062,1,-7.126505558258927,Alfredo Marcondes,158136921.0,35576.36,4445.0,619,853,1159,1190,Presidente Prudente,1485.42,1468,50.46407700240633,1919,63.042049934296976,Jair → Jair
2036,1988,1929,1931,2180,2077,3350,2015,2126,2169,2247,2315,2364,2001,1,44,2.0772761877652997,91,45,2956,2,7,586,939,3500907,1023,46.92660550458716,1269,61.09773712084738,1172,50.62634989200864,1327,56.1336717428088,2,-4.964065378038576,Altair,210528680.0,61005.12,3451.0,647,808,1008,1037,São José do Rio Preto,1313.69,727,33.51775011526049,1308,58.2109479305741,Jair → Jair
6547,7246,7166,7469,8302,8020,12340,7520,8171,8410,8891,9301,9533,7498,9,217,1.033449352799586,349,182,12731,51,46,2726,4009,3501004,4179,50.33726812816189,5115,63.77805486284289,4277,45.984302763143745,5136,53.87600965068709,23,-9.902045212155805,Altinópolis,946537783.0,56281.23,16818.0,1464,2905,4138,4397,Ribeirão Preto,1391.26,3088,36.71819262782402,4882,54.909459003486674,Jair → Jair
2152,2170,2159,2344,2519,2508,3504,2347,2448,2452,2696,2689,2772,2303,21,115,1.4235723063616206,217,94,3665,7,4,626,835,3501103,1666,66.13735609368797,1932,77.03349282296651,1719,63.927110449981406,1874,67.6046176046176,8,-9.428875218348907,Alto Alegre,172396107.0,44883.13,3841.0,339,576,800,898,Araçatuba,1349.61,1410,57.50407830342577,1861,69.02818991097922,Jair → Jair
8114,8604,8683,9117,9994,9584,15020,9180,9752,9828,10192,10881,10883,9157,25,240,1.162369629818862,678,240,14063,64,50,3445,4683,3501152,5176,51.791074644786875,6530,68.13439065108514,4882,44.867199705909385,5756,52.88982817237894,22,-15.2445624787062,Alumínio,3438994015.0,198774.29,17301.0,1650,3054,4738,5127,Sorocaba,1523.42,4047,41.17826617826618,5509,54.0521978021978,Jair → Jair
